id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6KgZf5gZgF1KLNxq1qZgHP,0.844,0.677,6,-5.958,1,0.0564,0.171,2.34e-05,0.387,0.791,111.006,4
53zusvCJkyGYjEZ6bnLIjh,0.427,0.417,9,-7.379,0,0.0358,0.592,0.0,0.18,0.304,133.792,4
1fgzQI6AtswiR0JMXulldH,0.708,0.251,3,-13.428,1,0.0477,0.803,0.0,0.27,0.342,126.011,4
2JuHIbFudHwDqQssgqsH3i,0.771,0.438,3,-10.909,0,0.0745,0.794,0.0454,0.112,0.622,94.997,4
0kHgteR4TV4LO80wrasDSR,0.843,0.484,5,-8.246,1,0.053,0.706,0.0,0.098,0.356,129.987,4
5BJqg07SKgmFnVLOBmLFvq,0.578,0.226,9,-14.729,1,0.0302,0.895,2.16e-06,0.128,0.323,127.832,4
3BlB5wlzdbgCJGkuPcNVIW,0.485,0.346,11,-10.264,0,0.0355,0.915,3.46e-05,0.116,0.259,140.096,4
2kauMp3YNHXULGXyJh4321,0.816,0.348,6,-13.128,1,0.085,0.255,0.0,0.11,0.576,135.961,4
0gzpqwLf1jhNjnSJEyweAX,0.75,0.349,0,-9.389,1,0.051,0.305,0.0,0.295,0.481,82.002,3
2HtNUL0fTKiEUj0toUiucq,0.646,0.811,1,-8.32,1,0.364,0.0712,9.97e-06,0.0876,0.602,147.979,4
1w1zYOYYyX45UMnn0LMHdI,0.637,0.664,10,-7.64,0,0.0362,0.464,0.0,0.111,0.705,139.932,4
3UX7FjJDl6RodnWekzFwEB,0.626,0.597,2,-7.55,1,0.33,0.844,2.39e-05,0.149,0.182,79.406,4
0Qs29ApstkrU5T8S5Hxazw,0.726,0.679,3,-6.588,1,0.124,0.473,0.0,0.0921,0.454,91.991,4
23SUnSd024ACX7u1AUXsGc,0.619,0.427,2,-7.142,0,0.0563,0.801,1.88e-06,0.368,0.284,139.757,4
4nwdFVU1yT5j9zTaTv1rxk,0.702,0.177,11,-17.406,1,0.0516,0.807,0.0,0.109,0.54,87.083,4
3DLtPObflLQBodZN8qGODT,0.704,0.573,0,-7.032,0,0.0518,0.737,0.0,0.068,0.759,127.995,4
4jXXUVMCdIkAOFOkRfaljV,0.721,0.312,7,-7.04,1,0.0275,0.948,0.0,0.173,0.681,90.009,4
7aAobrQzeaFO7JQiPFi3cU,0.556,0.486,2,-8.94,1,0.0262,0.136,1.54e-06,0.157,0.233,77.891,4
3lgCCIj5kUu8IAbJarm9oz,0.48,0.334,1,-12.37,1,0.0331,0.588,4.1e-06,0.114,0.319,144.163,4
1o6cYDMHvKOfizi4d9Lqxr,0.593,0.325,6,-11.214,1,0.0296,0.957,0.219,0.286,0.442,110.068,4
25h0TqC9H3BcMA7KjK5nHK,0.56,0.42,7,-10.729,1,0.257,0.882,0.000605,0.11,0.585,173.695,4
2Npr9vbXuQYcpnsouBIrHU,0.49,0.321,0,-10.109,0,0.0351,0.738,0.0,0.19,0.25,127.943,4
2uZmeuNAxSm7XfVIwLkhCx,0.762,0.295,7,-9.745,1,0.035,0.954,0.00157,0.164,0.284,129.962,4
2UtFCtiSoc30GJ4MUcHDKr,0.678,0.482,2,-14.073,1,0.144,0.514,0.0,0.298,0.459,90.962,4
2ZsuL7UkkeRfcS6FgBLLHl,0.757,0.261,1,-13.513,1,0.0351,0.78,4.86e-06,0.169,0.679,95.974,4
08ULi904W2Po6pVj8nN7KC,0.659,0.522,3,-9.893,1,0.0472,0.715,1.02e-05,0.357,0.648,90.949,4
3AejRjgBsFV4HWHjJmmEP7,0.516,0.254,9,-10.353,1,0.0329,0.858,7.44e-06,0.158,0.255,112.812,4
4H2C2CDs2QrO9xuStligzF,0.279,0.382,6,-10.083,0,0.0294,0.892,0.0024,0.209,0.309,145.227,4
3YctJXK6kznnWl68TnYobN,0.703,0.28,3,-9.56,1,0.0293,0.726,0.000282,0.118,0.338,141.892,3
4CKGjLQYTZv9S1eDuUG7DG,0.578,0.319,9,-9.367,1,0.038,0.811,0.0,0.0813,0.35,129.861,4
28bxbqNcAuNxYDZYet6eZ7,0.669,0.773,10,-8.182,1,0.108,0.13,4.01e-05,0.0838,0.358,170.085,4
3a2Oftcs10wtzw6AmxuTMU,0.638,0.106,3,-15.103,1,0.0424,0.955,1.1e-06,0.237,0.221,123.592,4
0DtarPcErIh4skfFtxzomo,0.482,0.38,5,-12.497,0,0.0341,0.62,0.000376,0.233,0.488,133.851,4
18iADruKMXIloyA9vCJXFE,0.506,0.159,4,-14.962,1,0.0361,0.892,0.0259,0.1,0.39,129.764,4
0Uvd67blVYyKn7NR8IhdQQ,0.602,0.501,8,-8.697,1,0.0346,0.578,0.0,0.11,0.475,91.032,4
4ih9noxBfg7euMjCPO0qNH,0.68,0.545,11,-7.026,0,0.116,0.537,0.0,0.121,0.363,204.141,3
